HEAT: 	INITIALIZED
2023-10-27 03:45:18.205668	FAN -> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 03:45:18.205922	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:45:18.206010	FAN :	Waiting for 1 minute before next check
2023-10-27 03:46:10.564116	HEAT-> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 03:46:10.564404	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:46:21.261797	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 03:46:21.262072	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:46:21.262176	FAN :	Waiting for 1 minute before next check
2023-10-27 03:47:11.089914	HEAT-> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 03:47:11.090187	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:47:21.787709	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:47:21.787982	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:47:21.788085	FAN :	Waiting for 1 minute before next check
2023-10-27 03:48:11.615794	HEAT-> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 03:48:11.616084	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:48:22.313485	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:48:22.313707	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:48:22.313786	FAN :	Waiting for 1 minute before next check
2023-10-27 03:49:12.141623	HEAT-> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 03:49:12.141899	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:49:22.839467	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:49:22.839736	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:49:22.839838	FAN :	Waiting for 1 minute before next check
2023-10-27 03:50:12.667450	HEAT-> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:50:12.667709	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:50:23.365596	FAN -> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 03:50:23.365878	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:50:23.365980	FAN :	Waiting for 1 minute before next check
2023-10-27 03:51:13.193372	HEAT-> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 03:51:13.193652	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:51:23.891566	FAN -> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 03:51:23.891860	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:51:23.891963	FAN :	Waiting for 1 minute before next check
2023-10-27 03:52:13.719389	HEAT-> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:52:13.719662	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:52:24.417319	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:52:24.417590	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:52:24.417693	FAN :	Waiting for 1 minute before next check
2023-10-27 03:53:14.245194	HEAT-> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:53:14.245477	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:53:24.943251	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:53:24.943521	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:53:24.943623	FAN :	Waiting for 1 minute before next check
2023-10-27 03:54:14.770825	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 03:54:14.771128	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:54:25.469059	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:54:25.469338	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:54:25.469442	FAN :	Waiting for 1 minute before next check
2023-10-27 03:55:15.296551	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 03:55:15.296826	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:55:25.994753	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 03:55:25.995051	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:55:25.995155	FAN :	Waiting for 1 minute before next check
2023-10-27 03:56:15.822310	HEAT-> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 03:56:15.822582	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:56:26.520506	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:56:26.520781	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:56:26.520884	FAN :	Waiting for 1 minute before next check
2023-10-27 03:57:16.348101	HEAT-> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:57:16.348378	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:57:27.046289	FAN -> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 03:57:27.046570	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:57:27.046672	FAN :	Waiting for 1 minute before next check
2023-10-27 03:58:16.873814	HEAT-> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 03:58:16.874089	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:58:27.572132	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 03:58:27.572428	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:58:27.572531	FAN :	Waiting for 1 minute before next check
2023-10-27 03:59:17.399578	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 03:59:17.399873	HEAT:	Waiting for 1 minute before next check
2023-10-27 03:59:28.097898	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 03:59:28.098188	FAN : 	No criteria activated - keeping fan off
2023-10-27 03:59:28.098291	FAN :	Waiting for 1 minute before next check
2023-10-27 04:00:17.925307	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:00:17.925591	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:00:28.623733	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:00:28.624031	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:00:28.624134	FAN :	Waiting for 1 minute before next check
2023-10-27 04:01:18.451189	HEAT-> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:01:18.451477	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:01:29.149542	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:01:29.149841	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:01:29.149946	FAN :	Waiting for 1 minute before next check
2023-10-27 04:02:18.976975	HEAT-> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:02:18.977251	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:02:29.675369	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:02:29.675625	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:02:29.675714	FAN :	Waiting for 1 minute before next check
2023-10-27 04:03:19.502699	HEAT-> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:03:19.503007	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:03:30.201083	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:03:30.201352	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:03:30.201443	FAN :	Waiting for 1 minute before next check
2023-10-27 04:04:20.028478	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:04:20.028756	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:04:30.726870	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:04:30.727178	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:04:30.727283	FAN :	Waiting for 1 minute before next check
2023-10-27 04:05:20.554244	HEAT-> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 04:05:20.554505	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:05:31.252710	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:05:31.253005	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:05:31.253109	FAN :	Waiting for 1 minute before next check
2023-10-27 04:06:21.080009	HEAT-> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 04:06:21.080289	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:06:34.308320	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:06:34.308595	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:06:34.308700	FAN :	Waiting for 1 minute before next check
2023-10-27 04:07:21.605751	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:07:21.606035	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:07:34.834080	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:07:34.834371	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:07:34.834474	FAN :	Waiting for 1 minute before next check
2023-10-27 04:08:22.131605	HEAT-> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 04:08:22.131889	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:08:35.359972	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:08:35.360276	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:08:35.360382	FAN :	Waiting for 1 minute before next check
2023-10-27 04:09:22.657350	HEAT-> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:09:22.657627	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:09:35.885829	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:09:35.886129	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:09:35.886235	FAN :	Waiting for 1 minute before next check
2023-10-27 04:10:25.713581	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:10:25.713852	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:10:36.411716	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:10:36.411988	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:10:36.412092	FAN :	Waiting for 1 minute before next check
2023-10-27 04:11:26.239321	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:11:26.239598	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:11:36.937451	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:11:36.937666	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:11:36.937801	FAN :	Waiting for 1 minute before next check
2023-10-27 04:12:26.764962	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:12:26.765235	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:12:37.463360	FAN -> 	Temperature=17.0°, Humidity=95.8%
2023-10-27 04:12:37.463633	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:12:37.463737	FAN :	Waiting for 1 minute before next check
2023-10-27 04:13:27.290645	HEAT-> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:13:27.290921	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:13:37.989112	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:13:37.989385	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:13:37.989490	FAN :	Waiting for 1 minute before next check
2023-10-27 04:14:27.816384	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:14:27.816659	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:14:38.514920	FAN -> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:14:38.515205	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:14:38.515311	FAN :	Waiting for 1 minute before next check
2023-10-27 04:15:28.342018	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:15:28.342298	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:15:39.040769	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:15:39.041048	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:15:39.041150	FAN :	Waiting for 1 minute before next check
2023-10-27 04:16:28.867792	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:16:28.868068	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:16:39.566499	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:16:39.566789	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:16:39.566892	FAN :	Waiting for 1 minute before next check
2023-10-27 04:17:29.393482	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:17:29.393782	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:17:40.092290	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:17:40.092572	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:17:40.092675	FAN :	Waiting for 1 minute before next check
2023-10-27 04:18:29.919301	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:18:29.919577	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:18:40.618016	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:18:40.618308	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:18:40.618411	FAN :	Waiting for 1 minute before next check
2023-10-27 04:19:30.445027	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:19:30.445310	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:19:43.675373	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:19:43.675624	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:19:43.675713	FAN :	Waiting for 1 minute before next check
2023-10-27 04:20:30.970742	HEAT-> 	Temperature=17.0°, Humidity=95.7%
2023-10-27 04:20:30.971037	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:20:44.201444	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:20:44.201743	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:20:44.201847	FAN :	Waiting for 1 minute before next check
2023-10-27 04:21:31.496454	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:21:31.496730	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:21:44.727829	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:21:44.728121	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:21:44.728223	FAN :	Waiting for 1 minute before next check
2023-10-27 04:22:32.022101	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:22:32.022380	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:22:45.253563	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:22:45.253854	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:22:45.253958	FAN :	Waiting for 1 minute before next check
2023-10-27 04:23:32.547910	HEAT-> 	Temperature=17.0°, Humidity=95.4%
2023-10-27 04:23:32.548252	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:23:45.779435	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:23:45.779709	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:23:45.779811	FAN :	Waiting for 1 minute before next check
2023-10-27 04:24:33.073678	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:24:33.073958	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:24:46.305218	FAN -> 	Temperature=17.0°, Humidity=95.4%
2023-10-27 04:24:46.305509	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:24:46.305613	FAN :	Waiting for 1 minute before next check
2023-10-27 04:25:33.599535	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:25:33.599791	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:25:46.830976	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:25:46.831221	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:25:46.831309	FAN :	Waiting for 1 minute before next check
2023-10-27 04:26:34.125239	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:26:34.125511	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:26:47.356840	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:26:47.357137	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:26:47.357243	FAN :	Waiting for 1 minute before next check
2023-10-27 04:27:34.651280	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:27:34.651541	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:27:47.882675	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:27:47.882950	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:27:47.883087	FAN :	Waiting for 1 minute before next check
2023-10-27 04:28:35.177088	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:28:35.177375	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:28:48.408569	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:28:48.408853	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:28:48.408956	FAN :	Waiting for 1 minute before next check
2023-10-27 04:29:35.702758	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:29:35.703068	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:29:48.934371	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:29:48.934626	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:29:48.934732	FAN :	Waiting for 1 minute before next check
2023-10-27 04:30:36.228515	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:30:36.228782	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:30:49.460108	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:30:49.460385	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:30:49.460489	FAN :	Waiting for 1 minute before next check
2023-10-27 04:31:36.754173	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:31:36.754450	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:31:49.985882	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:31:49.986170	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:31:49.986272	FAN :	Waiting for 1 minute before next check
2023-10-27 04:32:37.279855	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:32:37.280131	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:32:50.511677	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:32:50.511973	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:32:50.512075	FAN :	Waiting for 1 minute before next check
2023-10-27 04:33:37.805489	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:33:37.805766	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:33:51.037446	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:33:51.037721	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:33:51.037826	FAN :	Waiting for 1 minute before next check
2023-10-27 04:34:38.331217	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:34:38.331498	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:34:51.563321	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:34:51.563611	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:34:51.563780	FAN :	Waiting for 1 minute before next check
2023-10-27 04:35:38.856919	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:35:38.857182	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:35:52.089232	FAN -> 	Temperature=17.1°, Humidity=95.5%
2023-10-27 04:35:52.089508	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:35:52.089610	FAN :	Waiting for 1 minute before next check
2023-10-27 04:36:39.382543	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:36:39.382819	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:36:52.614981	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:36:52.615255	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:36:52.615358	FAN :	Waiting for 1 minute before next check
2023-10-27 04:37:39.908239	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:37:39.908505	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:37:53.140696	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:37:53.140967	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:37:53.141071	FAN :	Waiting for 1 minute before next check
2023-10-27 04:38:40.433938	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:38:40.434216	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:38:53.666433	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:38:53.666713	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:38:53.666816	FAN :	Waiting for 1 minute before next check
2023-10-27 04:39:43.489919	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:39:43.490190	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:39:54.192126	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:39:54.192354	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:39:54.192432	FAN :	Waiting for 1 minute before next check
2023-10-27 04:40:44.015686	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:40:44.015957	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:40:54.718058	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:40:54.718340	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:40:54.718442	FAN :	Waiting for 1 minute before next check
2023-10-27 04:41:44.541311	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:41:44.541593	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:41:55.244059	FAN -> 	Temperature=17.0°, Humidity=95.4%
2023-10-27 04:41:55.244355	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:41:55.244458	FAN :	Waiting for 1 minute before next check
2023-10-27 04:42:45.067394	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:42:45.067668	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:42:55.769741	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:42:55.770020	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:42:55.770121	FAN :	Waiting for 1 minute before next check
2023-10-27 04:43:45.593351	HEAT-> 	Temperature=17.1°, Humidity=95.5%
2023-10-27 04:43:45.593624	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:43:56.295662	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:43:56.295905	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:43:56.295983	FAN :	Waiting for 1 minute before next check
2023-10-27 04:44:46.119112	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:44:46.119388	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:44:59.346406	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:44:59.346715	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:44:59.346820	FAN :	Waiting for 1 minute before next check
2023-10-27 04:45:46.644741	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:45:46.645006	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:45:59.872274	FAN -> 	Temperature=17.0°, Humidity=95.4%
2023-10-27 04:45:59.872542	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:45:59.872643	FAN :	Waiting for 1 minute before next check
2023-10-27 04:46:47.170383	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:46:47.170752	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:47:00.398084	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:47:00.398387	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:47:00.398491	FAN :	Waiting for 1 minute before next check
2023-10-27 04:47:47.696185	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:47:47.696464	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:48:00.923937	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:48:00.924225	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:48:00.924328	FAN :	Waiting for 1 minute before next check
2023-10-27 04:48:48.221858	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:48:48.222139	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:49:01.449779	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:49:01.450074	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:49:01.450178	FAN :	Waiting for 1 minute before next check
2023-10-27 04:49:48.747732	HEAT-> 	Temperature=17.1°, Humidity=95.5%
2023-10-27 04:49:48.748002	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:50:01.975624	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:50:01.975907	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:50:01.976009	FAN :	Waiting for 1 minute before next check
2023-10-27 04:50:49.273425	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:50:49.273702	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:51:02.501413	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:51:02.501693	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:51:02.501796	FAN :	Waiting for 1 minute before next check
2023-10-27 04:51:49.799222	HEAT-> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:51:49.799494	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:52:03.027269	FAN -> 	Temperature=17.0°, Humidity=95.6%
2023-10-27 04:52:03.027533	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:52:03.027635	FAN :	Waiting for 1 minute before next check
2023-10-27 04:52:50.324889	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:52:50.325159	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:53:03.553039	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:53:03.553315	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:53:03.553418	FAN :	Waiting for 1 minute before next check
2023-10-27 04:53:50.850558	HEAT-> 	Temperature=17.0°, Humidity=95.4%
2023-10-27 04:53:50.850832	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:54:04.078816	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:54:04.079117	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:54:04.079220	FAN :	Waiting for 1 minute before next check
2023-10-27 04:54:51.376275	HEAT-> 	Temperature=17.0°, Humidity=95.4%
2023-10-27 04:54:51.376522	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:55:04.604611	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:55:04.604836	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:55:04.604915	FAN :	Waiting for 1 minute before next check
2023-10-27 04:55:51.901944	HEAT-> 	Temperature=17.0°, Humidity=95.4%
2023-10-27 04:55:51.902221	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:56:05.130461	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:56:05.130835	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:56:05.130939	FAN :	Waiting for 1 minute before next check
2023-10-27 04:56:52.427685	HEAT-> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:56:52.427956	HEAT:	Waiting for 1 minute before next check
2023-10-27 04:57:05.656740	FAN -> 	Temperature=17.0°, Humidity=95.5%
2023-10-27 04:57:05.657042	FAN : 	No criteria activated - keeping fan off
2023-10-27 04:57:05.657145	FAN :	Waiting for 1 minute before next check
2023-10-27 04:57:52.953409	HEAT-> 	Temperature=17.0°, Humidity=95.4%
2023-10-27 04:57:52.953679	HEAT:	Waiting for 1 minute before next check
